TPM,time
13230,0
91350,10
129144,20
122898,30
115464,40
81714,50
66198,60
121530,70
110538,80
137970,90
120306,100
127458,110
125040,120
120624,130
135132,140
117600,150
34632,160
125520,170
121764,180
122940,190
126510,200
131346,210
115854,220
114390,230
124824,240
122994,250
72432,260
68724,270
126588,280
114846,290
129348,300
122508,310
119034,320
122820,330
132672,340
115080,350
127242,360
20124,370
131634,380
113298,390
138954,400
118536,410
132468,420
113880,430
123240,440
135624,450
119304,460
95712,470
48966,480
126354,490
110580,500
124830,510
121362,520
136368,530
116034,540
124182,550
137934,560
118686,570
56958,580
89478,590
78960,600
