TPM,time
0,0
45474,10
65388,20
74388,30
47088,40
47034,50
75252,60
83046,70
72990,80
76974,90
72864,100
81798,110
73056,120
85608,130
75420,140
95430,150
31446,160
79200,170
82098,180
88656,190
88524,200
83238,210
84492,220
88506,230
84486,240
90162,250
88212,260
80460,270
51414,280
69960,290
89364,300
85008,310
91392,320
87396,330
90798,340
88104,350
93204,360
93954,370
82944,380
98724,390
88992,400
16098,410
101424,420
94134,430
86202,440
88602,450
75498,460
95724,470
86502,480
91140,490
90486,500
98664,510
95532,520
98634,530
6048,540
99546,550
81504,560
91668,570
90738,580
95724,590
87510,600
10854,610
