TPM,time
6,0
6444,10
130848,20
163110,30
137574,40
138918,50
115890,60
134154,70
163326,80
141186,90
71946,100
86520,110
148572,120
129708,130
167370,140
138684,150
138678,160
145980,170
139146,180
133668,190
45930,200
127362,210
141816,220
134628,230
155310,240
160758,250
111294,260
138822,270
145842,280
118050,290
29718,300
178380,310
129492,320
121188,330
142248,340
142956,350
132036,360
141792,370
162534,380
63372,390
115182,400
144312,410
136116,420
153054,430
137070,440
135468,450
168480,460
128832,470
129216,480
24108,490
141102,500
138816,510
128214,520
130974,530
138792,540
184944,550
131946,560
140166,570
106416,580
78948,590
153108,600
127212,610
70044,620
