TPM,time
0,0
21498,10
65262,20
103572,30
89544,40
103608,50
102294,60
106176,70
99204,80
108060,90
114120,100
108600,110
84330,120
56682,130
121872,140
77970,150
113412,160
127686,170
119568,180
131940,190
115392,200
126036,210
128526,220
120402,230
37614,240
123624,250
118086,260
117954,270
120810,280
121686,290
127902,300
117150,310
120762,320
125478,330
123294,340
79602,350
57378,360
126492,370
127788,380
125364,390
118878,400
118572,410
120672,420
118824,430
123492,440
116304,450
114396,460
76440,470
76380,480
118062,490
125352,500
127074,510
120228,520
116820,530
117816,540
113586,550
124992,560
121302,570
121686,580
71262,590
40644,600
