TPM,time
6,0
89988,10
101148,20
119886,30
130320,40
117174,50
128574,60
109680,70
130776,80
61764,90
117756,100
120978,110
118338,120
109806,130
112284,140
119034,150
124452,160
124650,170
114942,180
107886,190
127110,200
63534,210
85578,220
115836,230
114078,240
120210,250
111780,260
118020,270
115002,280
120618,290
120630,300
116052,310
46836,320
27792,330
43572,340
15204,350
48648,360
50214,370
46848,380
47316,390
56790,400
52302,410
52866,420
51684,430
57078,440
59256,450
60618,460
63762,470
66522,480
68190,490
105756,500
123414,510
110244,520
18906,530
123060,540
120120,550
122064,560
116490,570
115620,580
131670,590
75654,600
43842,610
