TPM,time
0,0
63282,10
41616,20
95724,30
98478,40
98148,50
105090,60
109668,70
111966,80
108156,90
117288,100
103512,110
108894,120
45804,130
108798,140
110268,150
114660,160
125808,170
104874,180
73056,190
114666,200
106038,210
100014,220
105108,230
77928,240
49752,250
67134,260
98106,270
87756,280
78954,290
70776,300
75852,310
62862,320
71958,330
79476,340
72258,350
55920,360
69330,370
69684,380
123324,390
118668,400
131130,410
106758,420
119388,430
113550,440
112308,450
103434,460
97692,470
102936,480
105660,490
52134,500
116184,510
96630,520
106218,530
91908,540
112356,550
114288,560
110244,570
104340,580
103362,590
80172,600
